Query,Response
hello,Hello! How can I assist you?
bye,Goodbye! Have a great day!
Weather query: Delhi,"Weather in Delhi: Sunny, 2°C"
Set Reminder: sleeping reminder,Reminder set for 10 minutes.
hello,"I'm not sure how to respond to that, but I'm here to help!"
hello,"I'm not sure how to respond to that, but I'm here to help!"
hi,"I'm not sure how to respond to that, but I'm here to help!"
hi,Good night!
how are you,"I'm just a virtual assistant, but I'm here to help you!"
hello,Hello! How can I assist you?
who are you,I am your virtual assistant!
bye,Goodbye! Have a great day!
Weather query: chennai,"Weather in chennai: Partly cloudy, 25°C"
Set Reminder: party reminder,Reminder set for 15 minutes.
